[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 77. 18.011.20058 Planned update, August 14, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 78. 18.011.20055 Planned update, July 10, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 79. 18.011.20040 Planned update, May 14, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 80. 18.011.20038 Optional update, February 23, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 81. 18.011.2003x Planned update, February 13, 2018
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 82. 18.009.20050 Optional update, November 29, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 83. 18.009.20044 Planned update, November 14, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 84. 17.012.20098 Out of cycle update, August 29, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 85. 17.012.20095 Optional update, August 11, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 86. 17.012.20093 Planned update, August 8, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 87. 17.009.20058 Out of cycle update, July 12, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 88. 17.009.20044 Planned update, April 11, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 89. 15.023.20070 Optional update, February 21, 2017 (Windows only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 90. 15.023.20056 Optional update, January 19, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 91. 15.023.20053 Planned update, January 10, 2017
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 92. 15.020.20042 Optional update, November 03, 2016
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 93. 15.020.20039 Planned update, October 11, 2016
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 94. 15.017.20053 Optional update, August 02, 2016
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 95. 15.017.20050 Planned update, July 12, 2016
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 96. 15.016.20045 Optional update, June 02, 2016
